"","X12.31.2017","Retail.Dealer","RITE.AID.OF.NEW.YORK..INC.","RITE.AID.STORE..4866","X9514","X63RD.DR","X","REGO.PARK","X11374","X212.791.5795","Queens","X.1","X.73.86273182","X40.7294619"
"53","03/31/2018","market","Nidhi Food Inc","5th Ave Super Market & Deli","4001","5TH AVE","","BROOKLYN",11232,"3472614295","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-74.0045696,40.65061778
"54","03/31/2018","market","LA OAXAQUENA CORP.","LA OAXAQUENA PRODUCE-MEX","2276","JEROME AVE","","BRONX",10453,"718-562-5356","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90377458,40.858558
"55","03/31/2018","market","BIG TREE 7702 INC","","7702","5TH AVE","","BROOKLYN",11209,"7188759673","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.02331933,40.62785299
"69","03/31/2018","market","NEW LEADER HELAL MEAT II CORP.","","6720","5TH AVE","","BROOKLYN",11220,"5164501299","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.02035303,40.63509705
"82","03/31/2018","market","PARK FRESH DELI EXPRESS CORP.","","194","8TH AVE","","NEW YORK",10011,"2126913135","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99993504,40.74328669
"85","03/31/2018","market","MANHATTAN FRUIT 678 INC.","","678","MANHATTAN AVE","","BROOKLYN",11222,"718-383-3674","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95143179,40.72491679
"88","03/31/2018","market","J C KEW GARDEN DELI & GROCERY INC","","12088","QUEENS BLVD","","KEW GARDENS",11415,"7185750235","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.82768623,40.71294071
"92","03/31/2018","market","BRIGHTON FRUIT MARKET, INC","","421","BRIGHTON BEACH AVE","","BROOKLYN",11235,"646-509-7141","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96301179,40.57727927
"99","03/31/2018","market","ENG'S FLORIST, INC.","","4722","8TH AVE","","BROOKLYN",11220,"718-686-1695","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.0021476,40.64263053
"101","03/31/2018","market","HUNG KEE FOOD MKT, INC","","214","CANAL ST","","NEW YORK",10013,"2124061945","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9990224,40.71720603
"108","03/31/2018","market","KIM'S  GOOD FARM INC","","1103","RUTLAND RD","","BROOKLYN",11212,"6462615958","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.92332057,40.66467029
"109","03/31/2018","market","CHURCH FRUIT FARM, INC.","MATT UMANOV GUITARS","1824","CHURCH AVE","","BROOKLYN",11226,"718-693-5961","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96278433,40.64954413
"116","03/31/2018","market","NELLYS FLOWERS INC","","501","BROADWAY","","BROOKLYN",11211,"9174280581","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95050448,40.70562073
"127","03/31/2018","market","ANTILLANA & METRO SUPERMARKET, CORP.","ANTILLANA SUPERFOOD MARKET PLACE","1339","JEROME AVE","","BRONX",10452,"9174737671","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 5, 5.01 to 10 foot stands: 0",-73.91866372,40.83889815
"132","03/31/2018","market","FERNANDEZ 224 FOOD CORP.","Pioneer","3946","WHITE PLAINS RD","","BRONX",10466,"7182310981","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86093469,40.88694388
"134","03/31/2018","market","SEASON NATURAL FOOD INC.","","88","MULBERRY ST","","NEW YORK",10013,"212-285-6388","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9988709,40.71662414
"136","03/31/2018","market","DIAZ, GILBERTO","ARIZONA FRUTAS & VEGETABLES","182","E 109TH ST","","NEW YORK",10029,"2128318277","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94385877,40.79373233
"139","03/31/2018","market","INTERNATIONAL PLANT CENTER, INC.","HEAVEN'S DELI GROCERY","1425","LEXINGTON AVE","","NEW YORK",10128,"7188289385","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95226253,40.78402799
"148","03/31/2018","market","LOPEZ, CARLOS A","FLOWERS BY LUNELLY","2922","36TH AVE","","ASTORIA",11106,"7187840112","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93111174,40.75721216
"151","03/31/2018","market","NEW BROOKLYN CITY DISCOUNT INC.","Sprint","4401","FORT HAMILTON PKWY","","BROOKLYN",11219,"7184382741","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99410869,40.64073649
"163","03/31/2018","market","RHE, SYANG CHAN","RHE'S FOOD MARKET","1119","LIBERTY AVE","","BROOKLYN",11208,"7188277079","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86815802,40.67855554
"167","03/31/2018","market","HERALD SQUARE MARKET INC.","LA VEGA GROCERY","968","AVENUE OF THE AMERICAS","","NEW YORK",10018,"2122443484","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98707907,40.75073796
"171","03/31/2018","market","LENNY & STEVE MARKET LLC","URBAN MARKET","783","402 W 47TH ST","","NEW YORK",10036,"6469644578","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9907878,40.7617969
"172","03/31/2018","market","NATIONS FOOD MARKET INC","ALL NATIONS FOOD MARKET","2004","COLLEGE POINT BLVD","","COLLEGE POINT",11356,"7187625626","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.84596408,40.78145369
"174","03/31/2018","market","HE XING GROCERY INC","","5802","FORT HAMILTON PKWY","","BROOKLYN",11219,"7188727687","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-74.00423339,40.63398714
"179","03/31/2018","market","SGC PIZZA CORP.","POLITO'S PIZZA","3812","BROADWAY","","ASTORIA",11103,"7186266344","Queens","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91967779,40.75928253
"182","03/31/2018","market","APM FRUIT & VEGETABLE INC.","COCINA TALLER","874","NOSTRAND AVE","","BROOKLYN",11225,"347-955-5922","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95066198,40.66825348
"183","03/31/2018","market","150 STREET PRODUCE CORP.","","2411","150TH ST","","WHITESTONE",11357,"7189397575","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 10, 5.01 to 10 foot stands: 0",-73.81480069,40.7768296
"184","03/31/2018","market","FRESH SUPERETTE INC","","804","W 181ST ST","","NEW YORK",10033,"2122172003","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93856199,40.85097894
"193","03/31/2018","market","ROSITO, PETER","PETER ROSITO FRUIT & VEGETABLE","1787","BAY RIDGE AVE","","BROOKLYN",11204,"7183310766","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 9, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99305179,40.61716418
"196","03/31/2018","market","WHOLE FOODS MARKET GROUP, INC.","","270","GREENWICH ST","","NEW YORK",10007,"512-542-0876","Manhattan","Product Category: Confectionery, Cigars, Cigarettes, or Tobacco, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.01121864,40.7153116
"204","03/31/2018","market","DAF FOOD CORP.","BRAVO SUPERMARKET","991","BEDFORD AVE","","BROOKLYN",11205,"7182307870","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95523257,40.69006807
"206","03/31/2018","market","FOOD FAIR FARM CORP","","9406","SUTPHIN BLVD","","JAMAICA",11435,"7187392500","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.80687032,40.69889562
"207","03/31/2018","market","NASEB FOODS, INC.","MET FRESH SUPERMARKET","9606","3RD AVE","","BROOKLYN",11209,"7189138550","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.03395905,40.61639907
"216","03/31/2018","market","BROADWAY FRUIT MARKET LLC","BROADWAY FARM","2341","BROADWAY","","NEW YORK",10024,"6465050808","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97698579,40.78775744
"230","03/31/2018","market","ERRAND GROCERY & DELI, INC.","","65","8TH AVE","","NEW YORK",10014,"2124638689","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00304563,40.7391311
"233","03/31/2018","market","EASY SHOP SUPERMARKET INC","","1520","AVENUE U","","BROOKLYN",11229,"7183750338","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 10, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95577623,40.59889476
"249","03/31/2018","market","KHAABAR BAARI RESTAURANT & PARTY HOUSE, INC.","","3722","73RD ST","","JACKSON HEIGHTS",11372,"7184507449","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89260155,40.74818815
"250","03/31/2018","market","N & K SUPERMART, INC.","DOMINGO'S GROCERY","8319","NORTHERN BLVD","","JACKSON HEIGHTS",11372,"7188981692","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88417938,40.75569237
"258","03/31/2018","market","NY HEALTHY FOOD CORP.","RAJ NEWSTAND","1075","LIBERTY AVE","WILLIAM STREET","BROOKLYN",11208,"7182004662","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86954645,40.67835401
"267","03/31/2018","market","188TH ST. GOURMET DELI. CORP","","346","E 188TH ST","","BRONX",10458,"3475366058","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89431468,40.86039691
"269","03/31/2018","market","VIPRA PRODUCE INC","U FARM LAND","4924","CHURCH AVE","","BROOKLYN",11203,"718-926-9021","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.93106573,40.65169512
"271","03/31/2018","market","CORTELYOU BAZAAR INC","","209","CORTELYOU RD","","BROOKLYN",11218,"9179395627","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.9771527,40.63809664
"272","03/31/2018","market","HAI THANH SEAFOOD, INC.","","19","HENRY ST","","NEW YORK",10002,"7188016318","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99648664,40.71286102
"275","03/31/2018","market","OCEAN BAY MARKET INC.","QUEENSBORO TOYOTA","2424","CONEY ISLAND AVE","","BROOKLYN",11223,"7183821688","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 7, 5.01 to 10 foot stands: 0",-73.96114963,40.5976588
"284","03/31/2018","market","PK FARM INC","","2970","NOSTRAND AVE","","BROOKLYN",11229,"718-252-4900","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94402618,40.61180116
"285","03/31/2018","market","EARLY BIRD SUPERMARKET INC.","","6614","BAY PKWY","Fourth Floor","BROOKLYN",11204,"718-815-5079","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 4, 5.01 to 10 foot stands: 0",-73.98244509,40.61290039
"288","03/31/2018","market","GOURMET BOUTIQUE OF NY LLC","","3688","NOSTRAND AVE","","BROOKLYN",11229,"7183324412","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.94067075,40.59407084
"295","03/31/2018","market","J.M. MORENO CORP","","2002","MERMAID AVE","","BROOKLYN",11224,"3479570350","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.987066,40.57636499
"298","03/31/2018","market","ORTIZ, JOHNNY","","510","OCEAN AVENUE","","BROOKLYN",11226,"7184626060","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00326531,40.73006517
"302","03/31/2018","market","FIRST STOP GROCERY 1 INC","","3185","FULTON ST","","BROOKLYN",11208,"718-235-9193","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.87728711,40.68220795
"304","03/31/2018","market","S&M GROCERY STORE INC","","449","W 206TH ST","","NEW YORK",10034,"2123049300","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91846744,40.86340822
"305","03/31/2018","market","LUCKY JNK INC","","6932","MYRTLE AVE","","GLENDALE",11385,"917-885-9949","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88171945,40.70186516
"306","03/31/2018","market","CORO FOOD CORP.","TRADE FAIR","4911","30TH AVE","","WOODSIDE",11377,"7187212437","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 5, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.90733492,40.76031077
"320","03/31/2018","market","TIMES SQUARE EATERY 48 CORP.","NELSON BLUE","167","W 48TH ST","","NEW YORK",10036,"7182499456","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98309592,40.75939712
"325","03/31/2018","market","CHOI, HAE S","165 STREET MARKET","245","E 165TH ST","","BRONX",10456,"7182393548","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91740661,40.82971619
"327","03/31/2018","market","El Rancho Nuevo Supermarket, Corp.","PUMPS","4401","5TH AVE","","BROOKLYN",11220,"718-851-2341","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00690101,40.64837792
"341","03/31/2018","market","A & Z INTERNATIONAL INC.","METROPCS #9101","506","FOSTER AVE","","BROOKLYN",11230,"718-437-5130","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.97265236,40.62946055
"342","03/31/2018","market","JITU SARNALE INC.","","3930B","61ST ST","","WOODSIDE",11377,"6467124142","Queens","Product Category: Ice Cream, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9030307,40.7464243
"350","03/31/2018","market","HY OPERATING, CORP.","DOYLE'S CORNER","4117","BELL BLVD","","BAYSIDE",11361,"9176788177","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.77072246,40.76312264
"353","03/31/2018","market","CAROLINA FLOWER SHOP INC","VIDA PHARMACY","1813","WESTCHESTER AVE","","BRONX",10472,"3472819133","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86580496,40.83204187
"356","03/31/2018","market","A AND T GROCERY INC.","","2906","STILLWELL AVE","","BROOKLYN",11224,"718-946-3289","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.98150425,40.57670733
"357","03/31/2018","market","SUNFLOWER FLORIST INC","","4723","NEW UTRECHT AVE","","BROOKLYN",11219,"9172797413","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.99455931,40.63804663
"358","03/31/2018","market","SUNSET MINI MEAT MARKET, CORP","","4201","7TH AVE","","BROOKLYN",11232,"347-891-9365","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00132972,40.64683829
"359","03/31/2018","market","FRANK'S GOURMET MARKET, INC.","","807","W 187TH ST","","NEW YORK",10033,"2127952929","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 4, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.93723503,40.85522703
"360","03/31/2018","market","DA HING DEPARTMENT STORE INC.","","289","GRAND ST","","NEW YORK",10002,"212-625-8828","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.9923559,40.71768885
"371","03/31/2018","market","HAN'S FAMILY FRUIT & VEGETABLE, INC.","","2501","BROADWAY","","NEW YORK",10025,"2126667089","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.97309807,40.79286454
"378","03/31/2018","market","102-14 FOOD CORP.","KEY FOOD","10214","37TH AVE","","CORONA",11368,"3472264943","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.86515918,40.75306416
"380","03/31/2018","market","EMPIRE GROCERY STORE INC.","","511","E 138TH ST","","BRONX",10454,"5165211699","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.91891529,40.80743837
"388","03/31/2018","market","CASTILLO, JOSEFA","CASTILLO SEA FOOD","2904","ATLANTIC AVE","","BROOKLYN",11207,"7183470961","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 3, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.88715287,40.67728295
"397","03/31/2018","market","sunset flower shop llc","","4120","4TH AVE","","BROOKLYN",11232,"718-832-1736","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00751397,40.65135322
"407","03/31/2018","market","Green Ivy 1, Inc","","244","4TH AVE","124 UNION STREET","BROOKLYN",11215,"7188523193","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 8, 5.01 to 10 foot stands: 0",-73.98354591,40.67668934
"415","03/31/2018","market","WILLIAMS, MARTE","KSY MINI MARKET","996","AMSTERDAM AVE","","NEW YORK",10025,"2128640699","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.96419778,40.8025318
"416","03/31/2018","market","CANCAS GROCERY CORP.","","1276","FLATBUSH AVE","","BROOKLYN",11226,"347-568-6996","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 6, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.95424708,40.63907518
"417","03/31/2018","market","YOGI GROCERY CORP.","CORNER 77","7617","BROADWAY","","ELMHURST",11373,"7184464650","Queens","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 1, 5.01 to 10 foot stands: 0",-73.88913374,40.74571459
"424","03/31/2018","market","7955 AE COMPANY INC.","","5909","8TH AVE","","BROOKLYN",11220,"7188033622","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-74.00906873,40.63594938
"429","03/31/2018","market","LOTUS 99 CENTS ENTERPRISES INC.","","2216","86TH ST","","BROOKLYN",11214,"646-226-7089","Brooklyn","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 2, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.99341711,40.60169454
"435","03/31/2018","market","SH & N. AGA, INC.","SH & N AGA INTERNATIONAL","3120","BAINBRIDGE AVE","","BRONX",10467,"9178531796","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.8793192,40.87424841
"439","03/31/2018","market","ALANIS DELI GROCERY CORP.","","2565","GRAND CONCOURSE","","BRONX",10468,"7182200387","Bronx","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 1, 5 foot stands: 0, 5.01 to 10 foot stands: 0",-73.89613504,40.86378552
"442","03/31/2018","market","VIDEOAI, INC.","OXFORD CLEANERS","285","AMSTERDAM AVE","","NEW YORK",10023,"2128747174","Manhattan","Product Category: Fruits, Vegetables, Soft Drinks, or Flowers, 4 foot stands: 0, 5 foot stands: 2, 5.01 to 10 foot stands: 0",-73.98094963,40.77952945
