NAME,ZIP,TEL,LON,LAT
MARUTI 1859 CORP.,11105,7182040616,-73.91873706,40.7818107
"TAINO SUNRISE, CORP.",10035,5162397923,-73.93698896,40.80207824
SABOR CRIOLLO GROCERY CORP,10453,7182999545,-73.90733563,40.84802125
ROYAL DELI INC,10459,6462039956,-73.89686419,40.82256613
"7-ELEVEN, INC.",10033,212-368-5659,-73.93536288,40.84742555
"ALGOFI, YAHYA",10453,347-759-2761,-73.9005495,40.85644459
461 7TH AVENUE MARKET INC.,10001,2127602337,-73.99022257,40.75152053
JINAL USA LLC,10309,7188153628,-74.23723582,40.53770429
LaGuardia Service LLC,11371,6468383688,,
FAMILY EXPRESS 1 DELI & GROCERY INC,11214,6464622285,-73.99020587,40.59504092
"AHMAD, MIRZA",10032,2122033197,-73.9444241,40.83468109
CHALOUH ON U INC.,11223,718-627-7270,-73.96372769,40.59801921
"VAN DAM LN, CORP.",11101,3474103977,-73.93457251,40.7396368
MY DELI GROCERY INC,10034,2125677126,-73.9252569,40.8667092
ROCKY I DELI GROCERY CORP.,11412,7188055962,-73.7566245,40.70619751
4051 ABINADER GROCERY CORP.,10032,2129235035,-73.93922366,40.84286045
A & B BUSINESS CORP.,11223,7187145959,-73.97959488,40.59333501
SANA NEWS INC.,10013,3477549507,-74.00297974,40.71812
MYKONOS FOOD CORP,10457,2018191947,-73.90689283,40.84674735
"BROWN, MARK",10003,9173387992,-73.99478981,40.73159668
"WALGREEN EASTERN CO., INC.",11413,718-426-4182,-73.75007816,40.67925994
K-N DELI & MARKET INC.,11204,718-837-3264,-73.9824829,40.61978159
LUCKY DELI MINI MARKET CORP,11412,7187205600,-73.77354457,40.70496945
"SMALDONE, ALFONSO",11235,718-368-0224,-73.96044217,40.58833722
SHAMRAT GROUP INC.,10009,9175203159,-73.97925918,40.72355279
520 Fifth Avenue Foods Inc.,11215,7184990247,-73.9884399,40.66662485
SANTA GROCERY INC.,10462,7185977368,-73.86683407,40.85047929
"150 MARKET, INC",10038,2125712114,-74.0062545,40.70972913
"MAHANT 404, INC",11217,7188555788,-73.98450975,40.68679573
LABORBOX INC.,11209,7187483595,-74.02687054,40.61664249
"J&T SUPERMARKET, INC.",11412,7183411230,-73.76226631,40.6908111
UPTOWN SERVICE STATION CORP.,10035,2122068099,-73.93379984,40.79818168
"148 DELI GROCERY, INC.",10039,9179400247,-73.94045415,40.82485304
WOODSIDE DELI & GRILL INC.,11377,3476126292,-73.91822633,40.7360719
"KRISHNA CANDY & GROCERY, INC.",11378,7188945305,-73.90384668,40.72117323
Z & S DELI & GROCERY CORPORATION,10026,9176787020,-73.94919998,40.80351701
204 GROCERY & CONVENIENCE INC.,11211,9177718762,-73.95852237,40.71710524
359 DELI GROCERY LTD.,11211,7189572186,-73.94452722,40.71533172
"MONTILLA, RAFAEL E.",10474,7189999999,-73.88855803,40.82019794
HUDSON RETAIL-NEU NEWS LAGUARDIA JV,11371,2015282436,-73.92627904,40.75676726
COHLBA SMOKE SHOP & GRILL CORP,11226,347-946-7741,-73.95753817,40.64253213
RADFAN INC.,11204,718-284-0001,-73.98501214,40.61732536
E. TREMONT 99CENTS & MORE CORP.,10461,718-239-3332,-73.84921548,40.84292887
5910 RAINBOW GROCERY DELI INC.,11234,718-209-5008,-73.91957277,40.63400575
3700 EXPRESS DELI GROCERY INC.,10467,7186872323,-73.86392219,40.88154864
"NY CIGAR & VAPE, INC",11238,718-213-5994,-73.96399369,40.67902892
KEAP ST GOURMET DELI,11211,718-387-1412,-73.95487383,40.70863353
B & V CONVENIENCE STORE INC.,11428,7187401918,-73.74922201,40.71518173
NEW YOU ME CORP.,10306,7186442705,-74.11241745,40.56781279
ALEX DELI GROCERY I INC.,11212,718-773-8288,-73.92305318,40.66523828
NYC BEST GROCERY CORP,10027,7186661764,-73.94630058,40.8066392
FAMILY FOOD & DELI CORP,11216,7187892002,-73.95478696,40.68781169
"MAA TARA GAS, INC.",10468,7182205651,-73.90295201,40.85989672
"MYRTLE AVENUE SHOP, INC.",11385,7184978087,-73.91076974,40.69956104
FRESNO GOURMET DELI CORP.,10009,9173492249,-73.98076059,40.7214835
"ALI (NY), INC.",11104,7187864578,-73.92283272,40.74051609
V.A. GROCERY AND DELI CORP,11233,4128890993,-73.90800913,40.67987611
BIONIC BAGEL CORP.,11235,7186483794,-73.940366,40.59260495
JIYA DELI & GROCERY INC.,11354,7188889655,-73.8202737,40.76504684
"FAMILY DOLLAR STORES OF NEW YORK, INC.",10468,7048476961,-73.90344115,40.85914234
MADISON SQ. FOOD CORP.,10001,2127365617,-73.99518179,40.74981361
SAMMY QUICK STOP DELI & GROCERY INC.,11417,7183232846,-73.83765672,40.68171421
HUDSON RETAIL NEU-NEWS LAGUARDIA JV,11371,7184246500,,
MUKTI  E 163RD PETROLEUM INC.,10451,718-402-9201,-73.9104792,40.82461408
"RAGOONANAN, DAVE",11214,7182660420,-73.986799,40.5976948
VIRPA PRODUCE INC,11203,7189269021,-73.93106573,40.65169512
"MILANO GIFT SHOP, INC.",10013,2129650978,-73.99808446,40.71788946
NAMDOR INC.,10044,2127213077,-73.94676,40.76516374
PASCUAL FOOD CORP.,10472,7186205200,-73.85319227,40.8276624
TUNISSERVICE CORP,11215,718-788-0665,-73.98974912,40.66185729
WOODRUFF FINEST GROCERY CORP,11226,347-295-1949,-73.96005683,40.6547034
"DAS, SUKANTA",10012,9174984456,-73.99404032,40.72032118
"WALGREEN EASTERN CO., INC.",10307,7189672955,-74.23352571,40.5158329
MAHBUB DELI AND MARKET INC.,11204,347-702-5855,-73.98604251,40.61633188
HWANG SO 857 CORP.,10017,5163192656,-73.97046165,40.75223353
"SHAH, PRASHANT",10017,5168517725,-73.97444325,40.75076604
K AND K FOOD CORP.,10002,212-571-2183,-73.98904896,40.71130153
BASEL A ELBARATI,11213,6462407388,-73.93064256,40.67395778
JJP DELI GROCERY INC,10462,7186843207,-73.86322397,40.83598025
AKOTA MEAT MARKET CO. INC.,11377,7182055680,-73.89227592,40.74645865
"ARGO TRADING, INC",11375,7184801967,-73.85064684,40.71086207
EMELI DELI & GROCERY CORP.,10460,,-73.86823095,40.84235656
H & H GROCERY & HALAL MEAT INC.,11230,7186795506,-73.9622291,40.62454991
SHRINATHJI KRUPA LLC,10012,973-652-8988,-73.9969912,40.72265159
"18TH AVE DELI & GROCERY A, INC.",11214,7183313546,-74.00204563,40.60772777
STOP 1 DELI GROCERY CORP,11210,3475339013,-73.94786193,40.63491686
ROSEDALE FANTASTIC DELI INC,11422,3476352975,-73.73987233,40.65961756
"WALGREEN EASTERN CO., INC.",11420,718-426-4182,-73.81898484,40.676087
"PAREKH, INDU K.",11372,7185058218,-73.89175215,40.74896412
NORDOMI #2 DELI CORP.,11435,7185584131,-73.81299054,40.70269626
"WALGREEN EASTERN CO., INC.",11228,718-426-4182,-74.00458212,40.62305737
T&A DELI INC.,11211,7187823975,-73.94081811,40.7121981
BOLLA OPERATING CORP.,11222,5165126125,-73.94429941,40.72030786
East Side Convenience Store Inc.,10002,9174020538,-73.98430324,40.7216103
T&J GROCERY CORP.,11207,718-342-3141,-73.88924451,40.66388772
"RAHMAN CANDY & TOBACCO, INC.",10007,2125131413,-74.00736239,40.71464768
Bolla Operating Corp,11362,973-870-6959,-73.72426674,40.76576558
4 GOLD STAR GOURMET DELI CORP.,11229,718-769-0401,-73.93678827,40.59882276
"ROMI CARDS & GIFTS, INC.",10306,7183513271,-74.13251141,40.56366317
BANDERAS FOOD CORP,11221,718-484-8357,-73.9179462,40.69397254
ASTOR DELI AND GROCERY INC,10467,7187986569,-73.86594461,40.8595797
SC & IT INC.,11435,7187397299,-73.80535108,40.69675214
"RAMSAY, GLEN R",11212,718-485-3688,-73.9099812,40.65588282
CLASSON DELI AND GROCERY INC,11238,347-715-9363,-73.95915997,40.67738044
V & M INTERNATIONAL DELI GROCERY CORP.,11368,7183960320,-73.86623474,40.74768022
S & K CONVENIENT MART INC.,11102,7187771315,-73.92262737,40.77129828
681 TIMES SQUARE FOOD CORP.,10036,2122452362,-73.9892398,40.75800627
R&K CONVENIENCE INC.,11432,7187392397,-73.7832898,40.71278336
MATILDA GOURMET DELI INC,10466,7187085705,-73.85646428,40.89880369
"HUDSON GROUP (HG) RETAIL, LLC",10119,2129716800,-73.99087596,40.75065873
181 Park Deli Corp.,10033,9177948943,-73.93137883,40.84832076
V AND F ENTERPRISES INC,11694,718-945-1010,-73.83659528,40.58224416
"DOLEH, BASSAM M.",11215,7184999784,-73.98641158,40.66120643
"150-17 AUTO REPAIR, CORP.",11357,718 442 1013,-73.81263339,40.78742354
"D & H CANDY, INC.",10010,7186667398,-73.98517587,40.7397011
RYAN DELI CORP,11379,7183260250,-73.88656979,40.71274755
"NAWAZ NEWS, LLC",11415,7186662116,-73.82977324,40.70930426
N&Z GROCERY INC,11223,7186850109,-73.97856051,40.59638155
AAN DELI & GROCERY INC.,11103,7185451416,-73.91670476,40.76688061
"BRONXWOOD FOOD AND CONVENIENCE, INC.",10466,3472441189,-73.85229115,40.89176929
"SUNNY GOURMET DELI, INC.",11201,718-624-1956,-73.99341532,40.69290095
"KIN, HONG",11357,7187677785,-73.81491251,40.7885608
CY DELI GROCERY CORP,11433,9175283168,-73.7868207,40.70391885
MI ESQUINA SHOP MART INC.,11368,7184261808,-73.86148671,40.75391891
RIVERDALE DELI & GROCERY INC.,10471,7185490969,-73.89801093,40.89002371
"ALI, MAZHAR",11223,718-336-6033,-73.96092451,40.59468062
"C.M. BAGEL CAFE, INC.",10475,7183209011,-73.82326491,40.86898595
MALIHA MANAGEMENT INC,11232,917-602-5397,-74.00226325,40.65286857
SHIVSHAKTEE INC,11385,347-468-2876,-73.89671261,40.70606811
G. P. NORTHERN BLVD. SERVICE CENTER INC.,11221,718-573-9138,-73.93293718,40.69724578
BEST MARKET & DELI INC,11432,7185268988,-73.80647828,40.71219887
MIGUEL SANTIAGO,10453,7189012635,-73.91001943,40.85199496
MORDECHAI CORP.,11204,7182327461,-73.98735976,40.6219314
NANA DELI GROCERY CORP.,11237,718-573-3276,-73.92365196,40.69951541
NEW BLONDIE FOOD 2 CORP,11231,7188555504,-74.0061758,40.6777965
JUANITO DELI GROCERY CORP,11368,6178006176,-73.8672402,40.7574719
461 MUNCHIEZ DELI GROCERY CORP,11238,347-756-9758,-73.96068444,40.67217963
CROES GROCERY DELI CORP,10472,,-73.87168669,40.83455174
SUNSHINE PHARMACY OF N.Y. INC.,11225,718-773-2020,-73.9426083,40.66488464
BHAVISHYA GAS INC,11234,9176607659,-73.92016035,40.6397757
DUANE READE,10012,718-386-6692,-73.99447255,40.72851156
STOP 1 DELI GRILL & GROCERY CORP.,11413,7185250375,-73.75163439,40.66895389
LUCKY LOTTERY & CONVENIENCE INC,11432,7186589569,-73.78504062,40.71236669
DELICATE FOOD CORP.,11213,718-604-8527,-73.93400514,40.66760285
681 DELI GROCERY STORE # 1 INC,10458,7183003770,-73.88537376,40.85448451
217 BAITOA DELI GROCERY CORP,10454,9172597079,-73.91764119,40.80659758
MUBAREZ STAR CORP,11203,7182078290,-73.9319658,40.64195991
PLAZA FOOD MARKET CORP.,11212,718-221-0030,-73.92709001,40.66220793
MR GROCERY CORP.,11237,7185736513,-73.91996659,40.70218631
"HETAL GROCERIES, INC.",10304,7189829335,-74.09605314,40.58908066
BRR ENTERPRISES INC,10014,212-242-4424,-74.00150098,40.73092706
NAMDOR INC.,10011,2127213077,-73.9992241,40.7442995
MONTERO'S DELI MINI MARKET CORP,11368,9178326330,-73.86846264,40.74711462
"FRIESING,  DONALD",10022,631-277-3246,-73.96913302,40.76092854
DUANE READE,10006,718-386-6692,-74.01295198,40.70625096
JAGGI 86 PETROLEUM INC,11379,718-855-1730,-73.8975935,40.7125685
"PENNYBRIDGE DELI, INC.",11201,6467324804,-73.99288835,40.69741881
"SALEH, RIAD Y",11225,7184620845,-73.96061217,40.66026177
"EXECUTIVE DELI AND GROCERY, INC",11103,7182789236,-73.91207976,40.76998697
BAY PKWY GROCERY CANDY CORP,11214,718-234-5545,-73.99332701,40.60239995
DUANE READE,10065,718-386-6692,-73.95954067,40.7629704
SIN & SIN MANAGEMENT INC.,10466,718-231-6321,-73.840831,40.88049259
157 GERARD CORP,10451,347-597-9450,-73.92632219,40.82544322
LIBERTY DELI AND GROCERY CORP,10451,9174858238,-73.91511128,40.82182072
GATE TOBACCO AND GIFT SHOP CORP,11237,9175258055,-73.91134564,40.70040413
AYDRIAN DELI GROCERY CORP.,10459,347-862-1232,-73.89447298,40.82898661
113 Q'BLVD NEWS INC,11375,7185752795,-73.83525037,40.7173489
"M&E ENERGY, CORP.",11101,7187293800,-73.92862776,40.74430759
A & J GOURMET DELI INC.,11237,7188092391,-73.92992446,40.70549476
GRA CONVENIENT III INC.,11204,718-249-9137,-73.99036806,40.61895909
"ALZOQARI, ALI S",11421,7184414850,-73.85542942,40.69273348
"WALGREEN EASTERN CO., INC.",11229,718-426-4182,-73.93576322,40.60128427
LP CORNER DELI INC,11361,7182291584,-73.7799818,40.76749662
D & A FAMILY DELI INC.,10466,3473468899,-73.84173049,40.88848911
J&W Supermarket Inc.,11236,917-804-1153,-73.91799155,40.65123914
LUCKY HESTER CORNER GROCERY STORE INC.,10002,2122268160,-73.99335886,40.7166514
"WALGREEN EASTERN CO., INC.",11226,718-426-4182,-73.94942437,40.65080712
BAYSIDE ENTERPRISES INC.,11364,7184236860,-73.75870453,40.74835053
YOUR DEAL FOOD CORP.,11221,718-452-1367,-73.91192546,40.69284274
"LANTIGUA, JUAN A",11218,718-686-7373,-73.98532378,40.64157012
DUANE READE,10011,718-386-6692,-73.99622167,40.74188681
"MOHIUDDIN, MARIA T.",11233,646-400-4751,-74.01290871,40.70627017
"7-ELEVEN, INC.",11222,9728680711,-73.9541126,40.72984473
L & A FOOD CORP.,11225,718-735-1170,-73.95083656,40.6661538
COMPANION DELI AND GROCERY INC,10034,3473207265,-73.92130025,40.86780994
METROPOLITAN PHARMACY INC.,11375,7182636151,-73.84951199,40.71025674
DAY N NIGHT FOOD CORP.,11219,347-533-6310,-73.99533078,40.63225241
COLLECTIBLES USA INC.,11414,7188356850,-73.84099518,40.66365548
"KRISHNA CONVENIENCE(NY), INC.",10461,7188246710,-73.8433154,40.84057976
ROBERTO A. ESPINAL,11216,7185131410,-73.95141779,40.68967676
DUANE READE,11229,718-386-6692,-73.95708707,40.59876625
JINAL USA LLC,10307,7188153628,-74.24854041,40.51077559
HORACE GAS INC.,11368,7186997152,-73.84946625,40.73849753
KARMA CONVENIENCE INC.,10312,7189674244,-74.15110825,40.53674927
RMDP NEWS INC.,11385,7183669807,-73.90292655,40.70396828
"GASHAN, ZAHRA MUTHANNA AHMED",11233,718-290-3930,-73.92112558,40.68586397
QUALITY NEWS INC.,11229,347-462-3050,-73.95731845,40.60860369
"PETERS, HENSLEY A.",11218,7186931740,-73.97076795,40.64642012
CRATER CANDY STORE CORP.,11102,3474343230,-73.92195708,40.76716974
"L-MO'S MARKET, INC.",11237,6465423807,-73.93168089,40.70555071
140 CHARLES OASIS GOURMET INC.,10014,212-505-0005,-74.00798156,40.73416286
"MARTE, WILLIAM",10025,212-864-0699,-73.96419778,40.8025318
"CEVERINO, VERONICA S",10457,7183290759,-73.89036424,40.84887644
"RITE AID OF NEW YORK, INC.",10463,212-791-5795,-73.90885968,40.875324
BETA NEW YORK LLC,10461,9143821925,-73.84403408,40.85159252
"7-ELEVEN, INC.",10003,9728680711,-73.99118508,40.73292217
2020 DELI CORP,10451,3472377364,-73.92786567,40.8115367
"ANN-CLAIR'S SALUMERIA, INC.",10461,7184091171,-73.85176555,40.85011508
DUANE READE,10028,718-386-6692,-73.95623021,40.77977798
SINGH & SONS PETROLEUM INC.,11416,7182962470,-73.85983064,40.68500964
LUCKY 7 DELI CORP.,11234,7186778367,-73.93364191,40.61964849
NRT FOOD CORP.,11231,7182374070,-73.99942669,40.6870987
LOS PRIMOS GROCERY CORP.,10457,7183670929,-73.89994908,40.84946154
K P DELI CORP.,10305,7184487730,-74.07037352,40.61193872
AB NEWS & LOTTO INC,11377,7184244449,-73.89627892,40.74603964
TASNEEM FOOD CENTER INC.,11224,5183764414,-73.98326035,40.579134
ASUNAN INC,10029,6463875418,-73.94694856,40.79131019
7TH AVE HARLEM FOOD CORP.,10030,212-283-1360,-73.94376479,40.81520152
MELROSE CONVENIENT STORE INCORPORATED,10455,3477400710,-73.91342639,40.81441696
DUANE READE,10468,718-386-6692,-73.89723211,40.86741774
ANNA & NELLIE DELI GROCERY CORP,10462,7188285910,-73.85296556,40.84032074
SHREEHARI CONVENIENCE INC,11372,7183358499,-73.88423366,40.74938499
"KIM, HONG",11234,718-531-0169,-73.91833171,40.62948146
2039 NYC DELI INC,10453,917-608-7512,-73.90391773,40.85205866
"PENA, VIDAL DE JESUS",11237,718-381-2833,-73.91110284,40.69587233
"BRIDGE FRESH, INC.",11201,718-488-1993,-73.98668082,40.70276232
GURU DE OAT INC,10001,908-265-6506,-73.99772609,40.75399119
BASHIR FAMOUS DELI CORP.,11434,7187750873,-73.77436791,40.67163846
MESHVA NEWS LLC,10013,5163128709,-74.00150793,40.71914108
VIP GOURMET DELI CORP,11368,7185251111,-73.86455296,40.73701763
TEJEDA GROCERY CORP.,10456,7185909262,-73.91553023,40.83048884
"LEE, JONG WHAN",11214,718-372-5486,-74.00456621,40.60114294
COMMUNITY AID PHARMACY INC,11223,7183398118,-73.971375,40.60898683
888 DELI CORP,11356,7188861417,-73.84587748,40.78298789
DUANE READE,10011,718-386-6692,-73.99924942,40.73913663
VILLA TAPIA GROCERY CORP.,11211,718-599-4130,-73.95299127,40.7082787
"NYC INK STUDIO, INC",10012,347-539-1015,-74.00072522,40.72970291
M.A. VARIETY INC,11414,7189259210,-73.83047161,40.66020947
"BURGOS, JUAN R",10034,2125676446,-73.91984703,40.8646196
RAM THAKUR ENTERPRISE INC.,11418,7186580012,-73.81671049,40.70213682
USEF CONVENIENCE STORE CORP.,11420,718-835-2638,-73.80596325,40.67475377
AMR FOOD CORP,11411,7189779346,-73.7372598,40.69424534
HIGH END DELI CORP,10014,2122120220,-74.00357615,40.74018782
STOP 1 MONEY MARKET INC.,11235,718-909-5689,-73.96215133,40.57746564
STADIUM CONVENIENCE INC,11238,347-653-3881,-73.96866294,40.67824803
"RITE AID OF NEW YORK, INC.",11226,212-791-5795,-73.95069654,40.65075826
R.A. 110 EAST 59TH STREET OPERATING CORP.,10022,2123080811,-73.96958374,40.76201283
LAJAN CORP.,10153,2123086818,-73.97318913,40.76402013
LELA GROCERY CORP,10451,7188286672,-73.91357197,40.82471525
BOLLA OPERATING CORP.,11224,5165126125,-73.98498475,40.57895308
1105 TINTON DELI GROCERY CORP.,10456,718-589-2436,-73.90145749,40.82673663
LOUIES TASTE OF ITALY CORP.,11385,9175158757,-73.86796541,40.70300026
"RITE AID OF NEW YORK, INC.",11421,212-791-5795,-73.85537532,40.69274165
MOCA DELI GROCERY INC,10033,3474464146,-73.93793961,40.84781396
"WALGREEN EASTERN CO., INC.",10312,718-426-4182,-74.16543816,40.5601922
FOUR J FOOD CORP,11221,7185737800,-73.92682873,40.68681468
P & K PRODUCE CORP.,11223,718-339-9565,-73.97330729,40.6043184
341 GOURMET DELI & CAFE CORP,10001,2122799221,-73.99283243,40.74794157
TIME NEWSSTAND LLC,10036,8453007970,-73.98634829,40.75913131
SPEEDWAY LLC,11420,7182394862,-73.81115457,40.66712094
"GENOVESE DRUG STORES, INC.",10312,212-929-6915,-74.16097153,40.54509932
"KLEYNBURG, ROMAN",11101,9178374442,-73.91053215,40.75298208
JUBILEE VAPE INC.,10075,7183837006,-73.95059294,40.77118741
23 DELI LLC,10011,2129246830,-74.00182614,40.74671213
PANCHOS FOODS CORP.,11216,7187827300,-73.94622345,40.69197731
"SG FOOD CENTER, CORP.",11432,7182912315,-73.79247938,40.70977281
LATINOS GROCERY INC.,11204,7183366500,-73.97472412,40.60980282
"YAFAI GROCERY STORE, INC.",10466,7189940656,-73.8505901,40.89548889
BLESSINGS DELI & GROCERY INC.,11385,7184176665,-73.91055034,40.70449322
64 FULTON ST. FOOD CORP.,10038,9172132202,-74.00513626,40.70876852
HOLLAND GOURMET DELI CORP,10467,3479864184,-73.8654867,40.86255717
"CASTILLO, JOSE",10310,718-876-7551,-74.12041256,40.6342755
ENJOY CONVENIENCE STORE INC,11372,718-205-5014,-73.88967293,40.74919545
METRO DELI GROCERY CORP. I,11212,718-493-2804,-73.92306806,40.66483755
"JOBAH, YASSER SALEH",11237,718-919-6584,-73.92152649,40.70060365
"PATEL, ALKA",10007,347-645-3740,-74.01169814,40.71375527
GARCIA DARIO & GARCIA BENIGNA,11412,7184687084,-73.76193354,40.69715634
GNP KISAN CORP,11367,7185445044,-73.8151039,40.73004578
REEMY'S INC,10462,7185972777,-73.85680098,40.8365461
"FAMILY DOLLAR STORES OF NEW YORK, INC.",10456,7048476961,-73.89964357,40.8315493
"MONTERIA FOOD, CORP.",10452,718-716-4521,-73.91596706,40.842253
AARON INC,11204,3477290830,-73.9915713,40.61775147
KENYA & JADE MEXICAN STORE CORP.,10035,6469283649,-73.93432422,40.79750129
GARCIA MINI MARKET CORP.,10456,6468416927,-73.91568458,40.83415589
AMBE GROCERY CORP.,11367,7187931980,-73.82372602,40.73050121
"MUNASER, ANIS M",11231,718-625-7414,-74.00089058,40.68379124
MY DELI FOOD MARKET INC,11205,718-834-0544,-73.97529357,40.69630475
ROCKY DELI GROCERY INC,11206,347-599-6144,-73.94724184,40.70376107
"BEAUTIFUL STONE MARKET, INC.",11358,7187467285,-73.78988937,40.76132845
2000 GOR-MET CORP.,11225,7182840002,-73.96224471,40.66063287
ELIOT CONVENIENT AND GROCERY INC,11379,7188981320,-73.886793,40.72149807
"JOHNSON GOURMET DELI & GRILL, INC.",11201,7186937292,-73.98278775,40.69479374
U&N DELI CORP,10031,212-222-0322,-73.94921038,40.82301826
"TARAN GROCERIES, INC.",11355,7183531290,-73.81824997,40.75392468
BAYRIDGE DELI & GROCERY INC,11209,518-387-8242,-74.03081808,40.62402224
PEACEFUL DELI & GROCERY NY CORP.,10028,2127372703,-73.94965329,40.77248252
FAST CORNER CORP,11213,347-285-4226,-73.93158154,40.66881463
"RITE AID OF NEW YORK, INC.",11233,212-791-5795,-73.91590474,40.68570656
MINI MARKET TENARES CORP.,11213,347-533-8225,-73.92751434,40.67307477
"PEREZ, PEDRO",10455,7189999999,-73.90624772,40.81464739
"A & A MINIMARKET, INC.",11419,7188462096,-73.83029111,40.69148871
AAA BIZ NET INC,10459,718-991-1127,-73.89768182,40.81717348
HILLSIDE CHEMISTS INC.,11432,7186587800,-73.77779535,40.71409037
"YOHAN'S DELI AND GROCERY, CORP.",10471,3474497420,-73.90374611,40.90820392
"L. & M. DELICATESSEN, CORP.",10011,2122422645,-73.99909064,40.73938914
NATURAL AND ORGANIC DELI CORP,11221,7188335202,-73.93197058,40.69735775
"JAI MAA ENERGY & FOOD, INC.",10469,718-798-5200,-73.85053368,40.87232088
THIRD AVE DELI GOURMET CORP,10451,3478130857,-73.90919843,40.82320504
"RITE AID OF NEW YORK, INC.",11422,212-791-5795,-73.73491396,40.66477469
"PRAMUKH 43, INC.",11355,9176877897,-73.82307158,40.75411883
"CARL'S GROCERY, INC.",11214,718-837-7336,-73.99113768,40.60103838
GOLD STAR MINIMART CORP.,11210,7184346999,-73.94950875,40.63454704
BOLLA OPERATING CORP.,11230,5165126125,-73.97461877,40.62165482
"WALGREEN EASTERN CO., INC.",11368,718-426-4182,-73.86255691,40.74953957
"REYES, ALEXANDRA",10033,2129272133,-73.93185845,40.84940521
SARATOGA DELI & GROCERY CORP,11233,3472951340,-73.9168406,40.68121405
SANCHEZ DELI & GROCERY CORP.,11368,7185927290,-73.86017316,40.74691821
"RITE AID OF NEW YORK, INC.",10031,212-791-5795,-73.95053032,40.82633446
REKHA PATEL,10011,2019362795,-74.00016601,40.74601223
HERO DELI CORP.,11223,7183390808,-73.97765948,40.59879954
DUANE READE,10009,718-386-6692,-73.98411908,40.72231842
MOE'S GOURMET FOOD CORPORATION,11354,7189399396,-73.8356388,40.77048242
MUKTI 154 PETROLEUM INC,11367,7187360400,-73.80967427,40.7197523
"PRAMUKH 71, INC.",11375,7187934331,-73.84449211,40.72061705
3768 Nostrand Avenue Foods Inc.,11235,7186480065,-73.94030159,40.59215752
MOON CONVENIENCE & DELI INC.,11204,347-312-3882,-73.99975867,40.61648369
FAROUQ FOOD CORP.,10451,3473849219,-73.92193793,40.82662605
"WELCOME MARKET, INC",11368,6462580107,-73.8586678,40.750512
FIKRI DELI GROCERY CORP,10032,6464651831,-73.94471351,40.83430246
"R.A.G.A.S.O. DELI-GROCERY, LLC",10459,917-688-1211,-73.90077116,40.82175438
FAMILY HE GROCERY STORE INC.,11101,6465789838,-73.9534492,40.74464417
"TIRU, LLC",10019,2124897003,-73.98262239,40.76195515
116 ROCKAWAY PARK STATIONERS INC.,11694,7186341684,-73.83728481,40.57998068
FORAMFENI INC,11419,7183225260,-73.82748964,40.68576169
437 MANHATTAN DELI CORP.,10026,646-384-9471,-73.95571411,40.80656634
MANUEL MINI MART CORP.,10457,3475907431,-73.89544227,40.85141726
"LOS BROTHER GROCERY, CORP.",11203,7187744800,-73.9476227,40.65969117
117 BRIGHTON BEACH BAKERY & DELI INC.,11235,7184492011,-73.96765962,40.57633646
STEPHANIE DELI INC.,11377,7184408631,-73.90696066,40.74398471
"RFC VARIETY, LLC",11354,7187628862,-73.82448023,40.77566176
"SNK SONS, INC.",10461,9736734676,-73.8546008,40.85443337
89-31 FOOD CORP.,11432,7185233006,-73.79975149,40.70603359
